DATE,CHILD,PARENT,KEYWORD
2000-01-01,OPEAST,OP,GRUPTREE
2000-01-01,OPWEST,OP,GRUPTREE
2000-01-01,INJEAST,WI,GRUPTREE
2000-01-01,OP,FIELD,GRUPTREE
2000-01-01,WI,FIELD,GRUPTREE
2000-01-01,FIELD,AREA,GRUPTREE
2000-01-01,AREA,NORTHSEA,GRUPTREE
