SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.32,0.0,1.0,165.728151841,1,SWOF,,,,
0.3374,1.676119e-08,0.9680216,153.074777675,1,SWOF,,,,
0.3548,4.795631e-07,0.9119928,141.953412741,1,SWOF,,,,
0.3722,3.451875e-06,0.8430636,132.116390967,1,SWOF,,,,
0.3896,1.412955e-05,0.7672163,123.365246941,1,SWOF,,,,
0.98,0.92,0.0,30.9230370781,1,SWOF,,,,
1.0,1.0,0.0,30.0,1,SWOF,,,,
,,,,1,SGOF,0.0,0.0,1.0,0.0
,,,,1,SGOF,0.0192,0.001220697,0.8731062,0.0
,,,,1,SGOF,0.0384,0.004073989,0.7505835,0.0
,,,,1,SGOF,0.6144,0.8307268,2.713968e-07,0.0
,,,,1,SGOF,0.64,0.87,0.0,0.0
,,,,1,SGOF,0.6533333,0.9133333,0.0,0.0
,,,,1,SGOF,0.6666667,0.9566667,0.0,0.0
,,,,1,SGOF,0.68,1.0,0.0,0.0
