PILLAR,X,Y,Z,VOLUME,PERMX,PERMY,PERMZ,PORV,WATVOL@2000-01-01,GASVOL@2000-01-01,OILVOL@2000-01-01,WATVOL@2000-07-01,GASVOL@2000-07-01,OILVOL@2000-07-01,WATVOL@2001-02-01,GASVOL@2001-02-01,OILVOL@2001-02-01,WATVOL@2001-08-01,GASVOL@2001-08-01,OILVOL@2001-08-01,PORO,OWC@2000-01-01,OWC@2000-07-01,OWC@2001-02-01,OWC@2001-08-01
14-26,460480.6,5933271.1,1716.3,843873.2,397.2,405.1,142.9,99680.2,89917.5,0.0,9762.7,89833.8,0.0,9846.4,89787.8,0.0,9892.4,89805.4,0.0,9874.8,0.1,1698.4,1698.4,1698.4,1698.4
14-31,460840.8,5932584.7,1712.6,735191.0,1737.7,1740.5,385.7,128119.9,126201.6,0.0,1918.3,126189.3,0.0,1930.5,126178.3,0.0,1941.5,126185.0,-0.0,1934.9,0.2,1699.9,1699.9,1699.9,1699.9
15-17,459835.6,5934595.5,1636.7,706576.0,605.0,535.4,97.5,126698.8,72548.6,0.0,54150.2,77354.4,0.0,49344.4,83059.3,0.0,43639.5,87168.7,0.0,39530.1,0.2,1640.4,1640.4,1640.4,1640.4
15-18,459906.7,5934460.6,1626.6,696766.3,838.3,700.9,163.6,122683.6,74366.3,0.0,48317.3,84393.5,0.0,38290.0,90880.6,0.0,31803.0,93511.7,0.0,29171.8,0.2,1635.6,1635.6,1634.3,1634.3
15-19,459976.6,5934325.5,1619.3,769240.6,1091.3,1187.3,190.1,134679.2,87650.3,0.0,47028.9,93253.8,0.0,41425.4,95279.4,0.0,39399.7,96842.8,0.0,37836.4,0.2,1630.7,1630.1,1630.1,1630.1
