FIPNUMPAIR,TRAN,FIPNUM1,FIPNUM2
1-2,2381.65,1,2
1-3,24624.76,1,3
1-4,0.02,1,4
1-5,135.81,1,5
2-3,0.43,2,3
2-4,35864.16,2,4
2-5,0.15,2,5
3-4,3903.47,3,4
3-5,6759383.45,3,5
3-6,0.05,3,6
4-5,0.26,4,5
4-6,11127640.81,4,6
5-6,2298.43,5,6
