DATE,GASVOL,OILVOL,OWC,PERMX,PERMY,PERMZ,PILLAR,PORO,PORV,VOLUME,WATVOL,X,Y,Z
2000-01-01,0.0,9762.7,1698.4,397.2,405.1,142.9,14-26,0.1,99680.2,843873.2,89917.5,460480.6,5933271.1,1716.3
2000-07-01,0.0,9846.4,1698.4,397.2,405.1,142.9,14-26,0.1,99680.2,843873.2,89833.8,460480.6,5933271.1,1716.3
2001-02-01,0.0,9892.4,1698.4,397.2,405.1,142.9,14-26,0.1,99680.2,843873.2,89787.8,460480.6,5933271.1,1716.3
2001-08-01,0.0,9874.8,1698.4,397.2,405.1,142.9,14-26,0.1,99680.2,843873.2,89805.4,460480.6,5933271.1,1716.3
2000-01-01,0.0,1918.3,1699.9,1737.7,1740.5,385.7,14-31,0.2,128119.9,735191.0,126201.6,460840.8,5932584.7,1712.6
