I1,J1,K1,TRAN,I2,J2,K2,DIR
7,63,2,0.16,8,63,2,I
12,44,3,507.75,12,44,4,K
16,61,5,0.24,17,61,5,I
34,14,10,4.58,35,14,10,I
35,24,3,105.97,35,24,4,K
4,59,11,0.88,5,59,11,I
38,45,3,0.21,39,45,3,I
