I1,J1,K1,TRAN,I2,J2,K2,DIR,FIPNUM1,FIPNUM2
17,1,5,180.10,17,1,6,K,2.00,4.00
24,18,10,0.00,25,18,11,NNC,3.00,5.00
22,27,5,1.21,22,27,6,K,1.00,3.00
18,7,10,0.00,19,7,8,NNC,4.00,3.00
20,40,10,0.00,21,40,14,NNC,4.00,5.00
16,10,7,0.04,17,10,7,I,4.00,3.00
6,55,5,0.67,6,55,6,K,2.00,4.00
24,24,5,0.62,24,24,6,K,1.00,3.00
14,21,5,0.34,14,21,6,K,2.00,4.00
23,57,5,3.15,23,57,6,K,2.00,4.00
