PILLAR,X,Y,Z,VOLUME,PERMX,PERMY,PERMZ,PORV,PORO
1-1,456620.8,5935659.6,1753.6,1053244.0,1095.9,1140.2,108.6,182502.8,0.2
1-10,457336.4,5934421.1,1742.2,1078104.1,776.9,758.3,82.8,171530.9,0.2
1-11,457416.0,5934283.4,1743.0,1035282.9,1332.2,1332.6,301.4,200754.5,0.2
1-12,457495.9,5934145.8,1745.8,1084271.9,1713.9,1639.4,336.1,218128.4,0.2
1-13,457575.9,5934008.2,1746.1,1097513.3,1531.9,1451.0,296.1,203463.0,0.2
